Task: 3, Test Name: Shoe image is displayed, DOM Id: shoe_img,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: False
Task: 3, Test Name: Shoe Code is displayed, DOM Id: SMALL____84,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Size in Dropdown is correct, DOM Id: current,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: False
Task: 3, Test Name: New price is displayed correctly, DOM Id: new_price,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: False
Task: 3, Test Name: Old price is displayed , DOM Id: old_price,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Old price is greyed, DOM Id: old_price,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Old price has line through, DOM Id: old_price,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Percentage discount is displayed correctly, DOM Id: percentage,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Add to Cart button is displayed, DOM Id: A__btn__114,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Shoe image is displayed, DOM Id: shoe_img,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Shoe Code is displayed, DOM Id: SMALL____84,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Size in Dropdown is correct, DOM Id: current,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: False
Task: 3, Test Name: New price is displayed correctly, DOM Id: new_price,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: False
Task: 3, Test Name: Old price is displayed , DOM Id: old_price,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Old price is greyed, DOM Id: old_price,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Old price has line through, DOM Id: old_price,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Percentage discount is displayed correctly, DOM Id: percentage,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Add to Cart button is displayed, DOM Id: A__btn__114,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: True
Task: 3, Test Name: Shoe image is displayed, DOM Id: shoe_img,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: True
Task: 3, Test Name: Shoe Code is displayed, DOM Id: SMALL____84,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: True
Task: 3, Test Name: Size in Dropdown is correct, DOM Id: current,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: False
Task: 3, Test Name: New price is displayed correctly, DOM Id: new_price,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: False
Task: 3, Test Name: Old price is displayed , DOM Id: old_price,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: True
Task: 3, Test Name: Old price is greyed, DOM Id: old_price,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: False
Task: 3, Test Name: Old price has line through, DOM Id: old_price,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: False
Task: 3, Test Name: Percentage discount is displayed correctly, DOM Id: percentage,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: True
Task: 3, Test Name: Add to Cart button is displayed, DOM Id: A__btn__114,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: True
Task: 2, Test Name: number of black shoes are 2, DOM Id: product_grid,Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 2, Test Name: number of black shoes are 2, DOM Id: product_grid,Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 2, Test Name: number of black shoes are 2, DOM Id: product_grid,Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 2, Test Name: number of black shoes are 2, DOM Id: product_grid,Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: False
Task: 2, Test Name: number of black shoes are 2, DOM Id: product_grid,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: False
Task: 2, Test Name: number of black shoes are 2, DOM Id: product_grid,Browser: Edge, Viewport: 768 * 700, Device: tablet, Status: False
Task: 2, Test Name: number of black shoes are 2, DOM Id: product_grid,Browser: Mobile Portrait, Viewport: 500 * 700, Device: mobile, Status: False
